time,left,front,u,Xi,desired
12001.394,378.782167,69.528735,1.500000,3.126294,385.026040
12001.428,420.241760,70.666163,-1.500000,-38.121944,385.260617
12001.461,380.092823,68.853806,1.041534,2.231578,385.487682
12001.498,396.147057,66.654253,-1.500000,-13.601755,385.732855
12001.540,362.771099,69.570898,1.500000,20.019588,386.005203
12001.571,385.084287,65.781990,-0.899195,-2.113780,386.204779
12001.614,379.129163,70.654006,1.500000,4.085116,386.475338
12001.640,382.591793,69.799385,1.500000,0.762556,386.630798
12001.672,396.592475,70.175048,-1.500000,-13.063215,386.824927
12001.703,387.717938,67.247831,-1.500000,-4.026431,387.005002
12001.731,397.427172,72.886851,-1.500000,-13.586364,387.170708
12001.766,398.351007,65.659624,-1.500000,-14.330925,387.369680
12001.798,378.885953,73.179767,1.500000,5.292235,387.545159
12001.829,381.326550,66.635242,1.500000,3.003974,387.714233
12001.862,405.203037,66.548018,-1.500000,-20.715123,387.888917
12001.899,397.832056,72.050922,-1.500000,-13.171138,388.080930
12001.933,367.942340,66.144881,1.500000,16.874113,388.253555
12001.963,363.249216,69.744605,1.500000,21.703884,388.405217
12001.997,380.820748,74.280719,1.500000,4.277842,388.566693
12002.027,391.976463,63.738761,-1.500000,-6.748152,388.710667
12002.057,392.520018,67.985247,-1.500000,-7.167194,388.848861
12002.088,375.863410,60.632238,1.500000,9.612495,388.985466
12002.120,391.148166,67.898659,-1.500000,-5.546928,389.124570
12002.159,372.477726,73.394425,1.500000,13.273683,389.291242
12002.194,382.643713,63.728611,1.500000,3.237775,389.435614
12002.227,396.459851,66.527067,-1.500000,-10.460717,389.566187
12002.258,393.495371,68.579022,-1.500000,-7.388099,389.686206
12002.288,389.761872,72.978071,-1.500000,-3.555155,389.796578
12002.325,369.194942,68.330822,1.500000,17.132191,389.930225
12002.356,390.583818,64.395426,-1.500000,-4.159678,390.037891
12002.389,377.954827,74.262215,1.500000,8.567884,390.147293
12002.423,360.995322,68.408209,1.500000,25.627341,390.258228
12002.452,390.375382,67.675550,-1.500000,-3.672039,390.347772
12002.485,361.590741,63.352348,1.500000,25.200098,390.444882
12002.519,359.259608,64.694053,1.500000,27.619435,390.542777
12002.550,381.763330,64.199285,1.500000,5.191555,390.626954
12002.581,375.411472,67.597651,1.500000,11.617734,390.709441
12002.611,385.148524,65.655660,1.500000,1.947873,390.784014
12002.647,408.919606,67.383691,-1.500000,-21.747926,390.867568
12002.680,397.772116,67.378768,-1.500000,-10.534429,390.940829
12002.717,408.693160,68.029265,-1.500000,-21.385372,391.018632
12002.750,386.495966,72.857376,-0.447284,0.869918,391.083112
12002.780,416.976871,70.570973,-1.500000,-29.562008,391.137473
12002.817,389.191457,62.127607,-1.500000,-1.718672,391.201759
12002.844,388.407167,62.176267,-1.500000,-0.896213,391.244121
12002.880,395.046776,67.599659,-1.500000,-7.489578,391.295448
12002.911,380.457733,62.513106,1.500000,7.136541,391.336597
12002.939,374.956984,66.729448,1.500000,12.667338,391.369946
12002.972,377.570922,69.505267,1.500000,10.086010,391.406140
12003.004,395.535735,67.338595,-1.500000,-7.851204,391.436770
12003.038,388.929757,66.828246,-1.500000,-1.220540,391.464170
12003.073,392.655064,64.849692,-1.500000,-4.924289,391.488097
12003.106,366.853076,71.761425,1.500000,20.894212,391.506424
12003.139,357.015891,71.594109,1.500000,30.744285,391.520728
12003.175,374.724780,67.179116,1.500000,13.044516,391.530850
12003.205,382.964381,64.292082,1.500000,4.809141,391.535541
12003.237,366.858107,73.352864,1.500000,20.916331,391.536557
12003.264,358.674424,68.724823,1.500000,29.097934,391.534249
12003.295,377.496500,72.122246,1.500000,10.270313,391.528094
12003.327,382.954135,57.472054,1.500000,4.803137,391.517504
12003.361,397.957920,70.670806,-1.500000,-10.214364,391.502282
12003.396,398.998404,70.522133,-1.500000,-11.273384,391.481710
12003.432,400.403089,63.468895,-1.500000,-12.702039,391.455106
12003.465,410.393721,65.589033,-1.500000,-22.718819,391.426084
12003.492,391.635632,62.964144,-1.500000,-3.984237,391.399995
12003.526,405.740473,70.995744,-1.500000,-18.123748,391.361516
12003.557,395.308699,70.916458,-1.500000,-7.726289,391.323430
12003.585,371.577590,67.637389,1.500000,15.970981,391.285873
12003.619,386.467602,66.030501,1.500000,1.035198,391.235072
12003.653,401.070736,69.392496,-1.500000,-13.618396,391.179069
12003.687,362.925751,67.266325,1.500000,24.472934,391.119517
12003.722,377.516961,67.413286,1.500000,9.822469,391.053751
12003.758,392.554607,70.282416,-1.500000,-5.280828,390.980887
12003.785,386.577517,74.427102,-0.876575,0.644178,390.923079
12003.819,371.362423,71.513785,1.500000,15.788435,390.844459
12003.845,404.521164,67.678594,-1.500000,-17.426413,390.782188
12003.878,373.516421,68.146341,1.500000,13.503537,390.699176
12003.908,371.936495,62.451250,1.500000,15.011958,390.619815
12003.943,391.951989,68.656629,-1.500000,-5.088677,390.525319
12003.977,380.736447,66.762868,1.500000,6.037087,390.425677
12004.012,391.811111,65.628158,-1.500000,-5.132801,390.319989
12004.049,389.986285,69.284108,-1.500000,-3.413631,390.202724
12004.080,361.526398,69.095158,1.500000,24.951702,390.097781
12004.111,382.991089,67.030167,1.500000,3.391331,389.991587
12004.147,392.086021,69.042224,-1.500000,-5.818409,389.864164
12004.172,378.668559,67.477177,1.500000,7.513837,389.769585
12004.200,398.733080,69.725703,-1.500000,-12.644395,389.665578
12004.230,417.722068,71.894353,-1.500000,-31.740591,389.546590
12004.261,382.631427,66.836765,1.500000,3.238530,389.422816
12004.298,393.043653,63.316519,-1.500000,-7.313289,389.267885
12004.333,385.394875,73.684760,-1.413834,0.199549,389.117008
12004.368,376.758771,62.668749,1.500000,8.697752,388.963954
12004.402,395.403901,63.792060,-1.500000,-10.088511,388.807313
12004.435,374.103406,62.954345,1.500000,11.073155,388.653231
12004.469,366.289905,71.341094,1.500000,18.735267,388.485208
12004.498,411.048053,61.479014,-1.500000,-26.149334,388.344860
12004.523,385.319178,65.313684,-1.500000,-0.535520,388.217157
